id_anio,cod_dre,nom_dre,cod_ugel,nom_ugel,ubigeo,departamen,provincia,distrito,centropobl,codigoloca,periodopro,codigomodu,anexo,nombre_ie,gestion,dsc_nivel,dsc_grado,dsc_seccio,turno,total,codigo_modular_norm,codigo_local_norm,total_alumnos_norm,metodo_vinculacion,nombre_fya_bd,red_fya,fecha_procesamiento
2024,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CARAP,027716,No Aplica,0686386,0,88327,P£blica,Primaria,SEGUNDO,U,Ma¤ana,5,686386,27716,5,CODIGO_MODULAR_NORMALIZADO,88327,54,2025-08-09T17:54:03.394488
2024,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUANCHUY,027603,No Aplica,1551944,0,87009-01,P£blica,Inicial - Jard¡n,Grupo 5 a¤os,AMARILLA,Ma¤ana,15,1551944,27603,15,CODIGO_MODULAR_EXACTO,87009-01,54,2025-08-09T17:54:03.394488
2024,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,PICHIU,027453,No Aplica,1315084,0,86548 JOSE MARIA VELAZ,P£blica,Secundaria,SEGUNDO,Unica,Ma¤ana,24,1315084,27453,24,CODIGO_MODULAR_EXACTO,86548 JOSE MARIA VELAZ,54,2025-08-09T17:54:03.394488
2024,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CARAP,027716,No Aplica,0686386,0,88327,P£blica,Primaria,CUARTO,U,Ma¤ana,7,686386,27716,7,CODIGO_MODULAR_NORMALIZADO,88327,54,2025-08-09T17:54:03.394488
2024,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUARAC HURAN,,No Aplica,0838455,0,HUARAC HUARAN,P£blica,Inicial - Programa no escolarizado,3 a¤os,PERAS,Ma¤ana,4,838455,99,4,CODIGO_MODULAR_NORMALIZADO,HUARAC HUARAN,54,2025-08-09T17:54:03.394488
2024,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUARAC HURAN,,No Aplica,0838455,0,HUARAC HUARAN,P£blica,Inicial - Programa no escolarizado,4 a¤os,MANZANAS,Ma¤ana,2,838455,99,2,CODIGO_MODULAR_NORMALIZADO,HUARAC HUARAN,54,2025-08-09T17:54:03.394488
2024,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUARAC HURAN,027575,No Aplica,0520221,0,86809,P£blica,Primaria,PRIMERO,éNICA,Ma¤ana,3,520221,27575,3,CODIGO_MODULAR_NORMALIZADO,86809,54,2025-08-09T17:54:03.394488
2024,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUARAC HURAN,027575,No Aplica,0520221,0,86809,P£blica,Primaria,SEXTO,éNICA,Ma¤ana,2,520221,27575,2,CODIGO_MODULAR_NORMALIZADO,86809,54,2025-08-09T17:54:03.394488
2024,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,PICHIU,027453,No Aplica,1376268,0,86548 JOSE MARIA VELAZ,P£blica,Inicial - Jard¡n,Grupo 3 a¤os,ABEJITAS,Ma¤ana,18,1376268,27453,18,CODIGO_MODULAR_EXACTO,86548 JOSE MARIA VELAZ,54,2025-08-09T17:54:03.394488
2024,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CAJAY,027561,No Aplica,1376300,0,86783,P£blica,Secundaria,PRIMERO,UNICO,Ma¤ana,16,1376300,27561,16,CODIGO_MODULAR_EXACTO,86783,54,2025-08-09T17:54:03.394488
2024,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CARAP,027716,No Aplica,0686386,0,88327,P£blica,Primaria,QUINTO,U,Ma¤ana,2,686386,27716,2,CODIGO_MODULAR_NORMALIZADO,88327,54,2025-08-09T17:54:03.394488
2024,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUANCHUY,027603,No Aplica,0818682,0,87009-01,P£blica,Primaria,PRIMERO,éNICA,Ma¤ana,13,818682,27603,13,CODIGO_MODULAR_NORMALIZADO,87009-01,54,2025-08-09T17:54:03.394488
2024,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUASCAR,027556,No Aplica,1633189,0,86769 ABRAHAM VALDELOMAR,P£blica,Secundaria,TERCERO,UNICA,Ma¤ana,10,1633189,27556,10,CODIGO_MODULAR_EXACTO,86769 ABRAHAM VALDELOMAR,54,2025-08-09T17:54:03.394488
2024,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CAPAN,027641,No Aplica,0541201,0,88247 SAN ENRIQUE,P£blica,Primaria,CUARTO,UNICA,Ma¤ana,8,541201,27641,8,CODIGO_MODULAR_NORMALIZADO,88247 SAN ENRIQUE,54,2025-08-09T17:54:03.394488
2024,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CARAP,862206,No Aplica,1678879,0,693,P£blica,Inicial - Jard¡n,Grupo 5 a¤os,PATITOS,Ma¤ana,3,1678879,862206,3,CODIGO_MODULAR_EXACTO,693,54,2025-08-09T17:54:03.394488
2024,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUANCHUY,027603,No Aplica,0818682,0,87009-01,P£blica,Primaria,SEXTO,éNICA,Ma¤ana,13,818682,27603,13,CODIGO_MODULAR_NORMALIZADO,87009-01,54,2025-08-09T17:54:03.394488
