id,codigo_modular,codigo_local,nombre_institucion,tipo_institucion,region,provincia,distrito,nivel_educativo,modalidad_especifica,gestion,area_censo,es_rural,es_fya,latitud,longitud,altitud,total_alumnos,alumnos_hombres,alumnos_mujeres,total_docentes,docentes_hombres,docentes_mujeres,total_secciones,numero_fya,unidad_ejecutora,multiplicidad1,multiplicidad2,estado_validacion,director,telefono,email,fecha_actualizacion
11,1104801,4734,FE Y ALEGRIA 62 SAN JOSE,IE,DRE AMAZONAS,BAGUA,IMAZA,Secundaria,EBR,Pública de gestión privada,Rural,1,1,-5.154846,-78.2885,288.0,243,0,243,15.0,5,9,10,FA 62,UGEL IBIR-IMAZA,3,3,VALIDO,VILLAR RONCEROS ROSA ELVIRA,nan,nan,2025-08-07 02:33:11
9,1401124,4734,FE Y ALEGRIA 62 SAN JOSE,IE,DRE AMAZONAS,BAGUA,IMAZA,Inicial - Jardín,EBR,Pública de gestión privada,Rural,1,1,-5.154846,-78.2885,288.0,41,18,23,3.0,0,3,3,FA 62,UGEL IBIR-IMAZA,1,1,VALIDO,VILLAR RONCEROS ROSA ELVIRA,nan,nan,2025-08-07 02:33:11
10,402248,4734,FE Y ALEGRIA 62 SAN JOSE,IE,DRE AMAZONAS,BAGUA,IMAZA,Primaria,EBR,Pública de gestión privada,Rural,1,1,-5.154846,-78.2885,288.0,146,55,91,10.0,4,5,8,FA 62,UGEL IBIR-IMAZA,2,2,VALIDO,VILLAR RONCEROS ROSA ELVIRA,nan,nan,2025-08-07 02:33:11
6,1105329,2754,NUESTRA SEÑORA DE GUADALUPE FE Y ALEGRIA 31,IE,DRE AMAZONAS,BAGUA,LA PECA,Inicial - Jardín,EBR,Pública de gestión privada,Urbana,0,1,-5.6091,-78.4379,873.0,73,36,37,4.0,0,4,4,FA 31,UGEL BAGUA,3,3,VALIDO,APONTE MONTEZA JUAN EDUARDO,nan,nan,2025-08-07 02:33:11
8,1250323,2754,NUESTRA SEÑORA DE GUADALUPE FE Y ALEGRIA 31,IE,DRE AMAZONAS,BAGUA,LA PECA,Básica Especial-Primaria,EBE,Pública de gestión privada,Urbana,0,1,-5.6091,-78.4379,873.0,7,4,3,1.0,0,1,4,FA 31,UGEL BAGUA,2,5,VALIDO,APONTE MONTEZA JUAN EDUARDO,nan,nan,2025-08-07 02:33:11
7,1735729,2754,NUESTRA SEÑORA DE GUADALUPE FE Y ALEGRIA 31,IE,DRE AMAZONAS,BAGUA,LA PECA,Básica Especial-Inicial,EBE,Pública de gestión privada,Urbana,0,1,-5.6091,-78.4379,873.0,2,1,1,1.0,0,1,2,FA 31,UGEL BAGUA,1,4,VALIDO,APONTE MONTEZA JUAN EDUARDO,nan,nan,2025-08-07 02:33:11
4,658427,2754,NUESTRA SEÑORA DE GUADALUPE FE Y ALEGRIA 31,IE,DRE AMAZONAS,BAGUA,LA PECA,Secundaria,EBR,Pública de gestión privada,Urbana,0,1,-5.6091,-78.4379,873.0,176,90,86,21.0,12,7,9,FA 31,UGEL BAGUA,1,1,VALIDO,APONTE MONTEZA JUAN EDUARDO,nan,nan,2025-08-07 02:33:11
5,676734,2754,NUESTRA SEÑORA DE GUADALUPE FE Y ALEGRIA 31,IE,DRE AMAZONAS,BAGUA,LA PECA,Primaria,EBR,Pública de gestión privada,Urbana,0,1,-5.6091,-78.4379,873.0,228,125,103,15.0,4,10,12,FA 31,UGEL BAGUA,2,2,VALIDO,APONTE MONTEZA JUAN EDUARDO,nan,nan,2025-08-07 02:33:11
305,1389972,545256,SANTA MARIA DE NIEVA - FE Y ALEGRIA 74,IE,DRE AMAZONAS,CONDORCANQUI,NIEVA,Instituto Superior Tecnológico,IEST,Pública de gestión directa,Urbana,0,1,-4.6009,-77.8693,190.0,153,124,29,21.0,8,12,6,FA 74,UGEL CONDORCANQUI,1,1,VALIDO,PARRA POVEZ BETSY MARIBEL,nan,nan,2025-08-07 02:33:11
12,767350,12220,FE Y ALEGRIA 38,IE,DRE AMAZONAS,UTCUBAMBA,BAGUA GRANDE,Secundaria,EBR,Pública de gestión privada,Urbana,0,1,-5.758672,-78.44423,470.0,603,289,314,40.0,22,16,20,FA 38,UGEL UTCUBAMBA,1,1,VALIDO,ITUSACA QUISPE ALEJANDRINA,474027,nan,2025-08-07 02:33:11
13,836791,12220,FE Y ALEGRIA 38,IE,DRE AMAZONAS,UTCUBAMBA,BAGUA GRANDE,Primaria,EBR,Pública de gestión privada,Urbana,0,1,-5.758672,-78.44423,470.0,385,202,183,16.0,7,7,12,FA 38,UGEL UTCUBAMBA,2,2,VALIDO,ITUSACA QUISPE ALEJANDRINA,774025,feyalegria_38@hotmail.com,2025-08-07 02:33:11
14,411512,15676,FE Y ALEGRIA 19,IE,DRE ANCASH,HUARAZ,HUARAZ,Primaria,EBR,Pública de gestión privada,Urbana,0,1,-9.535106,-77.52096,3127.0,549,310,239,24.0,6,17,19,FA 19,UGEL HUARAZ,2,2,VALIDO,DE LA CRUZ PRINCIPE BENSESLAO LORENZO,421295,fyalegriahz@terra.com.pe,2025-08-07 02:33:11
15,577478,15676,FE Y ALEGRIA 19,IE,DRE ANCASH,HUARAZ,HUARAZ,Secundaria,EBR,Pública de gestión privada,Urbana,0,1,-9.535106,-77.52096,3127.0,579,281,298,42.0,26,14,20,FA 19,UGEL HUARAZ,1,1,VALIDO,DE LA CRUZ PRINCIPE BENSESLAO LORENZO,421295,fyalegriahz@terra.com.pe,2025-08-07 02:33:11
16,1315084,27453,86548 JOSE MARIA VELAZ,IE,DRE ANCASH,HUAYLAS,PAMPAROMAS,Secundaria,RER,Pública de gestión directa,Rural,1,1,-9.2117,-77.9645,2956.0,145,71,74,13.0,7,5,6,RER FA 54,UGEL HUAYLAS,1,1,VALIDO,HUAYANEY ROMERO BARTOLI WALTER,nan,nan,2025-08-07 02:33:11
18,1376268,27453,86548 JOSE MARIA VELAZ,IE,DRE ANCASH,HUAYLAS,PAMPAROMAS,Inicial - Jardín,RER,Pública de gestión directa,Rural,1,1,-9.2117,-77.9645,2956.0,43,25,18,2.0,0,2,3,RER FA 54,UGEL HUAYLAS,3,3,VALIDO,HUAYANEY ROMERO BARTOLI WALTER,nan,nan,2025-08-07 02:33:11
24,1376300,27561,86783,IE,DRE ANCASH,HUAYLAS,PAMPAROMAS,Secundaria,RER,Pública de gestión directa,Rural,1,1,-9.191011,-78.0417,1597.0,104,52,52,9.0,7,1,6,RER FA 54,UGEL HUAYLAS,2,2,VALIDO,FLORES CORREA EDIN OMAR,nan,nan,2025-08-07 02:33:11
28,1376318,27641,88247 SAN ENRIQUE,IE,DRE ANCASH,HUAYLAS,PAMPAROMAS,Inicial - Jardín,RER,Pública de gestión directa,Rural,1,1,-9.201528,-77.99841,2345.0,14,7,7,1.0,0,1,3,RER FA 54,UGEL HUAYLAS,1,1,VALIDO,JAMANCA LOPEZ MARIA JUANA,nan,nan,2025-08-07 02:33:11
27,1551944,27603,87009-01,IE,DRE ANCASH,HUAYLAS,PAMPAROMAS,Inicial - Jardín,RER,Pública de gestión directa,Rural,1,1,-9.199093,-78.02747,1820.0,42,20,22,3.0,0,3,3,RER FA 54,UGEL HUAYLAS,2,2,VALIDO,ROJAS ROSALES ROCÍO VERÓNICA,nan,nan,2025-08-07 02:33:11
22,1608132,27556,86769 ABRAHAM VALDELOMAR,IE,DRE ANCASH,HUAYLAS,PAMPAROMAS,Inicial - Jardín,RER,Pública de gestión directa,Rural,1,1,-9.191896,-77.98308,3443.0,15,10,5,2.0,0,2,3,RER FA 54,UGEL HUAYLAS,3,3,VALIDO,LIBERATO EVANGELISTA ROCIO NILDA,nan,nan,2025-08-07 02:33:11
20,1633189,27556,86769 ABRAHAM VALDELOMAR,IE,DRE ANCASH,HUAYLAS,PAMPAROMAS,Secundaria,RER,Pública de gestión directa,Rural,1,1,-9.191896,-77.98308,3443.0,41,17,24,8.0,4,3,5,RER FA 54,UGEL HUAYLAS,1,1,VALIDO,LIBERATO EVANGELISTA ROCIO NILDA,nan,nan,2025-08-07 02:33:11
381,1678879,862206,693,IE,DRE ANCASH,HUAYLAS,PAMPAROMAS,Inicial - Jardín,RER,Pública de gestión directa,Rural,1,1,-9.204821,-77.97816,2793.0,14,7,7,1.0,0,0,3,RER FA 54,UGEL HUAYLAS,1,1,VALIDO,nan,nan,nan,2025-08-07 02:33:11
17,414987,27453,86548 JOSE MARIA VELAZ,IE,DRE ANCASH,HUAYLAS,PAMPAROMAS,Primaria,RER,Pública de gestión directa,Rural,1,1,-9.2117,-77.9645,2956.0,61,29,32,5.0,3,2,6,RER FA 54,UGEL HUAYLAS,2,2,VALIDO,HUAYANEY ROMERO BARTOLI WALTER,nan,nan,2025-08-07 02:33:11
19,415059,27504,86731,IE,DRE ANCASH,HUAYLAS,PAMPAROMAS,Primaria,RER,Pública de gestión directa,Rural,1,1,-9.190619,-77.99803,2900.0,7,5,2,1.0,0,0,3,RER FA 54,UGEL HUAYLAS,1,1,VALIDO,LLIUYA HUARANGA MARÍA ROSANA,nan,nan,2025-08-07 02:33:11
21,415117,27556,86769 ABRAHAM VALDELOMAR,IE,DRE ANCASH,HUAYLAS,PAMPAROMAS,Primaria,RER,Pública de gestión directa,Rural,1,1,-9.191896,-77.98308,3443.0,36,18,18,3.0,3,0,6,RER FA 54,UGEL HUAYLAS,2,2,VALIDO,LIBERATO EVANGELISTA ROCIO NILDA,nan,nan,2025-08-07 02:33:11
23,415141,27561,86783,IE,DRE ANCASH,HUAYLAS,PAMPAROMAS,Primaria,RER,Pública de gestión directa,Rural,1,1,-9.191011,-78.0417,1597.0,61,24,37,4.0,2,2,6,RER FA 54,UGEL HUAYLAS,1,1,VALIDO,FLORES CORREA EDIN OMAR,nan,nan,2025-08-07 02:33:11
25,520221,27575,86809,IE,DRE ANCASH,HUAYLAS,PAMPAROMAS,Primaria,RER,Pública de gestión directa,Rural,1,1,-9.23742,-77.9687,3625.0,16,8,8,2.0,1,0,6,RER FA 54,UGEL HUAYLAS,1,1,VALIDO,RODRIGUEZ MILLA HERCILIO EGIDIO,nan,nan,2025-08-07 02:33:11
29,541201,27641,88247 SAN ENRIQUE,IE,DRE ANCASH,HUAYLAS,PAMPAROMAS,Primaria,RER,Pública de gestión directa,Rural,1,1,-9.201528,-77.99841,2345.0,29,9,20,2.0,0,1,5,RER FA 54,UGEL HUAYLAS,2,2,VALIDO,JAMANCA LOPEZ MARIA JUANA,nan,nan,2025-08-07 02:33:11
30,686386,27716,88327,IE,DRE ANCASH,HUAYLAS,PAMPAROMAS,Primaria,RER,Pública de gestión directa,Rural,1,1,-9.205055,-77.97856,2777.0,27,8,19,2.0,1,0,6,RER FA 54,UGEL HUAYLAS,1,1,VALIDO,CALVO FERNANDEZ YONY JUAN,nan,nan,2025-08-07 02:33:11
26,818682,27603,87009-01,IE,DRE ANCASH,HUAYLAS,PAMPAROMAS,Primaria,RER,Pública de gestión directa,Rural,1,1,-9.199093,-78.02747,1820.0,73,34,39,4.0,1,3,6,RER FA 54,UGEL HUAYLAS,1,1,VALIDO,ROJAS ROSALES ROCÍO VERÓNICA,nan,nan,2025-08-07 02:33:11
2,838455,99,HUARAC HUARAN,IE,DRE ANCASH,HUAYLAS,PAMPAROMAS,Inicial - Programa no escolarizado,RER,Pública de gestión directa,Rural,1,1,-9.234663,-77.96693,3591.0,12,7,5,,0,0,3,RER FA 54,UGEL HUAYLAS,1,1,VALIDO,nan,nan,nan,2025-08-07 02:33:11
34,1735802,35641,FE Y ALEGRIA 42,IE,DRE ANCASH,SANTA,CHIMBOTE,Básica Especial-Inicial,EBE,Pública de gestión privada,Urbana,0,1,-9.096942,-78.56094,13.0,47,38,9,6.0,0,6,7,FA 42,UGEL SANTA,2,2,VALIDO,BERNABE MAGUIÑA SARAI REBECA,949833586,sariber19@hotmail.com,2025-08-07 02:33:11
31,359059,35250,FE Y ALEGRIA 16,IE,DRE ANCASH,SANTA,CHIMBOTE,Primaria,EBR,Pública de gestión privada,Urbana,0,1,-9.09236,-78.56034,13.0,560,286,274,28.0,3,24,23,FA 16,UGEL SANTA,1,1,VALIDO,SANCHEZ PORTAL HAYDEE,966854853,portal_sha@hotmail.com,2025-08-07 02:33:11
33,359323,35641,FE Y ALEGRIA 42,IE,DRE ANCASH,SANTA,CHIMBOTE,Básica Especial-Primaria,EBE,Pública de gestión privada,Urbana,0,1,-9.096942,-78.56094,13.0,184,118,66,30.0,1,29,25,FA 42,UGEL SANTA,1,1,VALIDO,BERNABE MAGUIÑA SARAI REBECA,949833586,sariber19@hotmail.com,2025-08-07 02:33:11
32,577098,35250,FE Y ALEGRIA 16,IE,DRE ANCASH,SANTA,CHIMBOTE,Secundaria,EBR,Pública de gestión privada,Urbana,0,1,-9.09236,-78.56034,13.0,555,286,269,34.0,12,19,17,FA 16,UGEL SANTA,2,2,VALIDO,SANCHEZ PORTAL HAYDEE,966854853,portal_sha@hotmail.com,2025-08-07 02:33:11
36,359042,38116,FE Y ALEGRIA 14,IE,DRE ANCASH,SANTA,NUEVO CHIMBOTE,Primaria,EBR,Pública de gestión privada,Urbana,0,1,-9.11353,-78.53686,20.0,792,416,376,31.0,11,19,25,FA 14,UGEL SANTA,1,1,VALIDO,VIERA LOPEZ EDEFIR CUSTODIO,938107374,custodioviera1967@hotmail.com,2025-08-07 02:33:11
35,495234,38116,FE Y ALEGRIA 14,IE,DRE ANCASH,SANTA,NUEVO CHIMBOTE,Secundaria,EBR,Pública de gestión privada,Urbana,0,1,-9.11353,-78.53686,20.0,729,374,355,45.0,24,19,22,FA 14,UGEL SANTA,2,2,VALIDO,VIERA LOPEZ EDEFIR CUSTODIO,938107374,custodioviera1967@hotmail.com,2025-08-07 02:33:11
182,1116854,350908,40670 EL EDEN FE Y ALEGRIA 51,IE,DRE AREQUIPA,AREQUIPA,CERRO COLORADO,Primaria,EBR,Pública de gestión privada,Urbana,0,1,-16.3256,-71.55617,2660.0,577,302,275,21.0,4,16,18,FA 51,UGEL AREQUIPA NORTE,1,1,VALIDO,JIMENEZ ILAZACA EMILIO,415835968444004,niladorotea@hotmail.com,2025-08-07 02:33:11
184,1116896,350908,40670 EL EDEN FE Y ALEGRIA 51,IE,DRE AREQUIPA,AREQUIPA,CERRO COLORADO,Inicial - Jardín,EBR,Pública de gestión privada,Urbana,0,1,-16.3256,-71.55617,2660.0,108,52,56,5.0,0,5,5,FA 51,UGEL AREQUIPA NORTE,3,3,VALIDO,JIMENEZ ILAZACA EMILIO,415835968444004,nan,2025-08-07 02:33:11
183,1261189,350908,40670 EL EDEN FE Y ALEGRIA 51,IE,DRE AREQUIPA,AREQUIPA,CERRO COLORADO,Secundaria,EBR,Pública de gestión privada,Urbana,0,1,-16.3256,-71.55617,2660.0,484,256,228,34.0,15,17,15,FA 51,UGEL AREQUIPA NORTE,2,2,VALIDO,JIMENEZ ILAZACA EMILIO,415835968444004,nan,2025-08-07 02:33:11
39,1799972,62521,40174 PAOLA FRASSINETTI,IE,DRE AREQUIPA,AREQUIPA,PAUCARPATA,Inicial - Jardín,EBR,Pública de gestión privada,Urbana,0,1,-16.41275,-71.49152,2519.0,83,34,49,3.0,0,3,3,FA 45,UGEL AREQUIPA SUR,3,3,VALIDO,CASTAÑEDA TANG CESAR STALYN CESAR STALYN,nan,nan,2025-08-07 02:33:11
37,219808,62521,40174 PAOLA FRASSINETTI,IE,DRE AREQUIPA,AREQUIPA,PAUCARPATA,Primaria,EBR,Pública de gestión privada,Urbana,0,1,-16.41275,-71.49152,2519.0,564,270,294,22.0,3,18,18,FA 45,UGEL AREQUIPA SUR,1,1,VALIDO,CASTAÑEDA TANG CESAR STALYN,463118,fya45@hotmail.com,2025-08-07 02:33:11
41,308445,62521,40174 PAOLA FRASSINETTI,IE,DRE AREQUIPA,AREQUIPA,PAUCARPATA,Básica Alternativa-Inicial e Intermedio,EBA,Pública de gestión privada,Urbana,0,1,-16.41275,-71.49152,2519.0,123,25,98,2.0,0,2,5,FA 45,UGEL AREQUIPA SUR,2,5,VALIDO,CASTAÑEDA TANG CESAR STALYN,463118,fya45@hotmail.com,2025-08-07 02:33:11
38,617183,62521,40174 PAOLA FRASSINETTI,IE,DRE AREQUIPA,AREQUIPA,PAUCARPATA,Secundaria,EBR,Pública de gestión privada,Urbana,0,1,-16.41275,-71.49152,2519.0,616,302,314,34.0,12,19,20,FA 45,UGEL AREQUIPA SUR,2,2,VALIDO,CASTAÑEDA TANG CESAR STALYN,463118,fya45@hotmail.com,2025-08-07 02:33:11
40,896001,62521,40174 PAOLA FRASSINETTI,IE,DRE AREQUIPA,AREQUIPA,PAUCARPATA,Básica Alternativa-Avanzado,EBA,Pública de gestión privada,Urbana,0,1,-16.41275,-71.49152,2519.0,59,13,46,6.0,1,4,4,FA 45,UGEL AREQUIPA SUR,1,4,VALIDO,CASTAÑEDA TANG CESAR STALYN,463118,fya45@hotmail.com,2025-08-07 02:33:11
334,1530971,619756,LOS MOROCHUCOS,IE,DRE AYACUCHO,CANGALLO,LOS MOROCHUCOS,Instituto Superior Tecnológico,IEST,Pública de gestión directa,Urbana,0,1,-13.5582,-74.1954,3312.0,74,33,41,12.0,5,6,3,FA 60,DRE AYACUCHO,1,1,VALIDO,DIAZ CRUZ FANI,nan,nan,2025-08-07 02:33:11
43,1197987,76504,FE Y ALEGRIA 50 PADRE CARLOS SCHMIDT SJ,IE,DRE AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,Primaria,EBR,Pública de gestión privada,Urbana,0,1,-13.17992,-74.21133,2787.0,454,230,224,15.0,4,12,16,FA 50,UGEL HUAMANGA,3,3,VALIDO,CUZCANO MANCO FELICITA ISOLINA,nan,nan,2025-08-07 02:33:11
42,1598861,76504,FE Y ALEGRIA 50 PADRE CARLOS SCHMIDT SJ,IE,DRE AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,Inicial - Jardín,EBR,Pública de gestión privada,Urbana,0,1,-13.17992,-74.21133,2787.0,90,38,52,4.0,0,4,4,FA 50,UGEL HUAMANGA,2,2,VALIDO,CUZCANO MANCO FELICITA ISOLINA,nan,nan,2025-08-07 02:33:11
44,424770,76504,FE Y ALEGRIA 50 PADRE CARLOS SCHMIDT SJ,IE,DRE AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,Secundaria,EBR,Pública de gestión privada,Urbana,0,1,-13.17992,-74.21133,2787.0,404,208,196,21.0,10,9,13,FA 50,UGEL HUAMANGA,1,1,VALIDO,GALVAN HUAMAN LUZMILA EMELDA,nan,nan,2025-08-07 02:33:11
